total,,total_dy,,bary,,disc,,halo,,bulge,,gass,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.3855665923373195,261.94644601293703,3.329064003096032,237.25005989348176,6.35958203564123,198.9256030812893,6.362162062547224,175.39575769861602,4.079897904649577,139.64487772515338,6.406114663767209,74.54803457236056,6.391786300057131,55.22271160827819
7.174962681753682,262.65411053572416,3.324088236920185,282.6290474172088,7.181965611927097,198.7873873541824,7.168097967307373,175.26030628605128,4.4411938153069315,144.626172530085,7.21278771907193,67.68977019331777,7.197630060999208,55.92761181652321
7.980898586513831,262.5186591231594,3.8062307649779776,235.48919153014026,7.9553747489080955,195.29605808746294,7.974218159703668,173.44415163186704,4.802305438328142,151.28817057663605,7.953025081547279,66.72502441811179,7.970670622707921,55.79768903304273
8.786650203637839,264.0639109522142,3.801347142620202,280.0278274330575,8.77812690046625,191.79643587711703,8.780338352099958,171.6279969776828,5.196588835855001,155.42358513167352,8.80885686379301,61.539170337062046,8.793330630448004,53.13841844350668
9.576414868326484,261.41016899176236,4.316292869911358,233.7227945377145,9.584523524316754,187.45922636050346,9.553747489080957,168.1366677109633,5.738809133295247,160.37447247664153,9.581989569319795,60.56889593277185,9.599266535208153,53.00296703094193
10.349455430035198,261.2802462082819,4.2784217606840755,279.10731069052576,10.391104435803403,181.4413136022705,10.393315887437113,161.27287470283625,6.11673700311446,163.6722997254114,10.3883861931703,56.23168641615837,10.37249138455301,51.19234100584197
11.155391334795347,261.1447947957172,4.760287857287654,234.48850966588654,11.181329819582404,174.58581353776975,11.183080552125757,158.6191327423843,6.478125057589887,167.81324290953324,11.19441424174852,55.25588338278379,11.195243536111162,47.69271879549598
,,4.771851906455595,279.0243812542617,,,,,6.741195658183292,168.60936549766882,,,,
,,5.565947330593591,236.87411311575107,,,,,7.184822070287305,172.73648710907986,,,,
,,5.561063708235816,281.41274901866836,,,,,7.414997327829278,173.5381383262997,,,,
,,6.371422516263385,240.94041980723514,,,,,7.875347842913218,175.14144076073939,,,,
,,6.366723181541751,283.7983524685329,,,,,8.10543095663712,176.78344359876894,,,,
,,7.161002893315887,239.9673810884028,,,,,8.467003298748688,179.24368354127125,,,,
,,7.172751230119973,282.8225494351584,,,,,8.746521570867811,180.03704181486466,,,,
,,7.966846654257967,240.6722812966478,,,,,9.15743692755653,182.4889888137405,,,,
,,7.961963031900192,285.2109171995651,,,,,9.420507528149939,183.28511140187607,,,,
,,8.772690415200046,241.3771815048929,,,,,9.831515028656728,184.89670677994218,,,,
,,8.751543408952694,284.2378784807328,,,,,10.160284171534931,186.52212373071887,,,,
,,9.557479313712843,284.102427068168,,,,,10.406999244420692,186.48065901258684,,,,
,,9.562270792252548,240.4041427860605,,,,,10.834454416453202,188.0894900761108,,,,
,,10.363507362291063,283.1266240347935,,,,,11.048182002469456,188.89390560787274,,,,
,,10.368298840830768,239.42833975268599,,,,,11.130420360098041,188.8800840351621,,,,
,,11.157602786429058,240.97635589628297,,,,,,,,,,
,,11.152719164071282,285.5149917992002,,,,,,,,,,
